PDB ID,-log(Kd/Ki),set
5mxk,3.39,general
6pic,3.39,general
1hxk,3.4,general
1il9,3.4,general
1jt1,3.4,general
1way,3.4,general
220l,3.4,general
223l,3.4,general
2jbu,3.4,general
2jqk,3.4,general
2q8i,3.4,general
2qcd,3.4,general
2rnx,3.4,general
3d8y,3.4,general
3k26,3.4,general
5afl,3.4,general
5o4t,3.4,general
5qaw,3.4,general
5qaz,3.4,general
5uah,3.4,general
6fg6,3.4,general
6gzy,3.4,general
6uhu,3.4,general
3nba,3.41,general
4yas,3.41,general
6byk,3.41,general
6ce8,3.41,general
6m7i,3.41,general
6pht,3.41,general
1hyz,3.42,general
3kqp,3.42,general
3muk,3.42,general
3px9,3.42,general
4c71,3.42,general
4d8a,3.42,general
4mi9,3.42,general
5i38,3.42,general
5yij,3.42,general
1kti,3.43,general
1ywi,3.43,general
2c57,3.43,general
2wig,3.43,general
3ms7,3.43,general
4k67,3.43,general
4kw6,3.43,general
5aqv,3.43,general
5ehg,3.43,general
2xp5,3.44,general
3as2,3.44,general
4b4n,3.44,general
5wi0,3.44,general
6mdq,3.44,general
4c6z,3.45,general
5ory,3.45,general
1t48,3.46,general
1wcc,3.46,general
2wi2,3.46,general
2wi3,3.46,general
3blu,3.46,general
3dla,3.46,general
3nil,3.46,general
3nuy,3.46,general
4bhf,3.46,general
4gby,3.46,general
4nrq,3.46,general
4qp6,3.46,general
6phz,3.46,general
3mtd,3.47,general
3nf7,3.47,general
4d2d,3.47,general
5ai4,3.47,general
1osv,3.48,general
1tsi,3.48,general
2c90,3.48,general
2f10,3.48,general
3d9m,3.48,general
5fni,3.48,general
5qaj,3.48,general
5z9e,3.48,general
5zlf,3.48,general
1gzc,3.49,general
1pzj,3.49,general
2ggx,3.49,general
2qcf,3.49,general
3d1v,3.49,general
4nyj,3.49,general
5ak6,3.49,general
5eok,3.49,general
5i25,3.49,general
5ybi,3.49,general
6b0v,3.49,general
3fcl,3.5,general
4n3w,3.5,general
4wey,3.5,general
6gbe,3.5,general
1gz9,3.51,general
2ohm,3.51,general
3nus,3.51,general
4lpf,3.51,general
5aqt,3.51,general
5dtt,3.51,general
5m4q,3.51,general
5orx,3.51,general
5qaf,3.51,general
1imx,3.52,general
1o4d,3.52,general
1o4f,3.52,general
1ysg,3.52,general
2fyv,3.52,general
3c14,3.52,general
3lcu,3.52,general
3qw6,3.52,general
3tf7,3.52,general
3zlv,3.52,general
3zly,3.52,general
4c70,3.52,general
4eky,3.52,general
4g93,3.52,general
4hv7,3.52,general
4oyo,3.52,general
4y5i,3.52,general
5ok3,3.52,general
5qa5,3.52,general
5vfn,3.52,general
6eji,3.52,general
2b4m,3.53,general
2y67,3.53,general
3avf,3.53,general
3h06,3.53,general
3nf6,3.53,general
4eh3,3.53,general
4nmr,3.53,general
4orx,3.53,general
4ory,3.53,general
1vjd,3.54,general
2jbv,3.54,general
2o9v,3.54,general
3blt,3.54,general
3bm8,3.54,general
3nf9,3.54,general
3obq,3.54,general
4gng,3.54,general
5ggk,3.54,general
5qaq,3.54,general
5v2l,3.54,general
6f5u,3.54,general
2ay3,3.55,general
2clf,3.55,general
2clm,3.55,general
2hwg,3.55,general
2n7b,3.55,general
2xah,3.55,general
3pjg,3.55,general
3qvu,3.55,general
4k3m,3.55,general
4mjr,3.55,general
4n98,3.55,general
4nym,3.55,general
5av0,3.55,general
5dts,3.55,general
5dva,3.55,general
5l8t,3.55,general
5vkm,3.55,general
6fn9,3.55,general
6knh,3.55,general
2hrm,3.56,general
2lsp,3.56,general
2ycm,3.56,general
4joe,3.56,general
6ccl,3.56,general
1jwm,3.57,general
2l1r,3.57,general
2rly,3.57,general
3ej5,3.57,general
4xm7,3.57,general
5csh,3.57,general
5enf,3.57,general
5jz9,3.57,general
5wpb,3.57,general
1vjc,3.58,general
4g19,3.58,general
4y63,3.58,general
5q1g,3.58,general
5ual,3.58,general
1gww,3.59,general
2nn8,3.59,general
2pgj,3.59,general
2pgl,3.59,general
3sl1,3.59,general
3x1k,3.59,general
4cd6,3.59,general
4k3r,3.59,general
6egs,3.59,general
1bo5,3.6,general
1d1p,3.6,general
1qw7,3.6,general
1uys,3.6,general
1w31,3.6,general
1zd4,3.6,general
2bgr,3.6,general
2oq6,3.6,general
2q6h,3.6,general
2qch,3.6,general
2wp1,3.6,general
2y68,3.6,general
3afk,3.6,general
3bb1,3.6,general
3kn0,3.6,general
3m3o,3.6,general
3pke,3.6,general
3t2p,3.6,general
4meo,3.6,general
4meq,3.6,general
5qac,3.6,general
5ujv,3.6,general
5y97,3.6,general
6ahi,3.6,general
6gx3,3.6,general
8gpb,3.6,general
1g9s,3.61,general
2kff,3.61,general
2l98,3.61,general
2vfz,3.61,general
3ftu,3.61,general
4a4c,3.61,general
4ln2,3.61,general
4qp1,3.61,general
5c91,3.61,general
5thi,3.61,general
6beb,3.61,general
6mmc,3.61,general
3pcc,3.62,general
3st6,3.62,general
3udj,3.62,general
4fxj,3.62,general
4nrc,3.62,general
4wy3,3.62,general
4yym,3.62,general
5qae,3.62,general
5qao,3.62,general
6mmq,3.62,general
3fuj,3.63,general
3jpx,3.63,general
3rxm,3.63,general
4mm7,3.63,general
1j5i,3.64,general
2pem,3.64,general
2qwg,3.64,general
3px8,3.64,general
4bdi,3.64,general
4gui,3.64,general
5hog,3.64,general
5qa9,3.64,general
6ccs,3.64,general
6g28,3.64,general
1b9v,3.65,general
3vws,3.65,general
4y4v,3.65,general
5aqk,3.65,general
5o1s,3.65,general
5qab,3.65,general
6gg5,3.65,general
6v5l,3.65,general
1l6y,3.66,general
2qv7,3.66,general
2rny,3.66,general
3ex6,3.66,general
3iny,3.66,general
3tsd,3.66,general
5b6c,3.66,general
5ggn,3.66,general
5kh7,3.66,general
5qak,3.66,general
2bve,3.67,general
3fts,3.67,general
3h2m,3.67,general
3h2n,3.67,general
4lnp,3.67,general
4mww,3.67,general
4n99,3.67,general
5er5,3.67,general
5vdq,3.67,general
6fzu,3.67,general
6mlh,3.67,general
1qsc,3.68,general
2za3,3.68,general
3uwl,3.68,general
4mx1,3.68,general
4oru,3.68,general
5f3t,3.68,general
5wxo,3.68,general
1l2z,3.69,general
3clp,3.69,general
3d7b,3.69,general
4gwi,3.69,general
5ai0,3.69,general
6fdu,3.69,general
6gmd,3.69,general
6ipm,3.69,general
6njh,3.69,general
1bcj,3.7,general
1e37,3.7,general
1fwu,3.7,general
1gz3,3.7,general
1gz4,3.7,general
1h0r,3.7,general
1i43,3.7,general
1uy6,3.7,general
1uy7,3.7,general
1uyd,3.7,general
1uye,3.7,general
1w70,3.7,general
2bjm,3.7,general
2bmz,3.7,general
3ex2,3.7,general
3ful,3.7,general
3kd7,3.7,general
3mrt,3.7,general
3zlw,3.7,general
4ayt,3.7,general
4ayx,3.7,general
4b2d,3.7,general
4kza,3.7,general
4l7h,3.7,general
4l7j,3.7,general
4o4k,3.7,general
4pji,3.7,general
5c6o,3.7,general
5c6p,3.7,general
5c87,3.7,general
5dy7,3.7,general
5dya,3.7,general
5em3,3.7,general
5eva,3.7,general
5ewd,3.7,general
5g43,3.7,general
5hn0,3.7,general
5jer,3.7,general
5qag,3.7,general
5vdu,3.7,general
5vdv,3.7,general
5vdw,3.7,general
6chm,3.7,general
6prg,3.7,general
3wkc,3.71,general
4k5m,3.71,general
4mjq,3.71,general
6frj,3.71,general
6mnp,3.71,general
1fwv,3.72,general
1ugy,3.72,general
2h9p,3.72,general
2yde,3.72,general
3ms2,3.72,general
4jog,3.72,general
4tk1,3.72,general
4tk2,3.72,general
5enh,3.72,general
5qas,3.72,general
6qtq,3.72,general
1b2m,3.73,general
2vta,3.73,general
3ati,3.73,general
3h91,3.73,general
3rxd,3.73,general
4y5s,3.73,general
6g46,3.73,general
1ihy,3.74,general
1oh4,3.74,general
2dwx,3.74,general
2xp4,3.74,general
3kpv,3.74,general
3mrv,3.74,general
3v30,3.74,general
4bv2,3.74,general
4pre,3.74,general
4yux,3.74,general
5a7c,3.74,general
5khj,3.74,general
6cef,3.74,general
6gxu,3.74,general
6mlw,3.74,general
2iyf,3.75,general
2pyi,3.75,general
3gep,3.75,general
4kov,3.75,general
5l4h,3.75,general
5ldo,3.75,general
3d6q,3.76,general
4c6x,3.76,general
5jid,3.76,general
5qa6,3.76,general
5x9h,3.76,general
6bhh,3.76,general
1mpl,3.77,general
2uuo,3.77,general
2xaj,3.77,general
2y9g,3.77,general
3fum,3.77,general
3hav,3.77,general
3kqm,3.77,general
3nuu,3.77,general
3s0j,3.77,general
3vi2,3.77,general
3wkd,3.77,general
4j86,3.77,general
4k8o,3.77,general
4w5a,3.77,general
5ewh,3.77,general
5h7h,3.77,general
5n7b,3.77,general
5orr,3.77,general
5qa4,3.77,general
5qad,3.77,general
5qar,3.77,general
5v8o,3.77,general
6ewk,3.77,general
6qmd,3.77,general
3qi3,3.78,general
4dhm,3.78,general
4klv,3.78,general
4tnw,3.78,general
5aqf,3.78,general
6g0v,3.78,general
1wbv,3.79,general
2xtk,3.79,general
4xqb,3.79,general
5etf,3.79,general
5mos,3.79,general
6g2a,3.79,general
1ybo,3.8,general
2ggd,3.8,general
3as3,3.8,general
3nfk,3.8,general
3q2m,3.8,general
3vv6,3.8,general
3zlx,3.8,general
4odk,3.8,general
4umr,3.8,general
4yb7,3.8,general
5aib,3.8,general
5ech,3.8,general
5eci,3.8,general
5lg3,3.8,general
5qax,3.8,general
5qb0,3.8,general
6bnh,3.8,general
6pi1,3.8,general
1mxl,3.81,general
2jup,3.81,general
2o9a,3.81,general
2ou7,3.81,general
3lce,3.81,general
4q9s,3.81,general
5wbf,3.81,general
6irt,3.81,general
2gfj,3.82,general
3g2h,3.82,general
3sgt,3.82,general
3tiz,3.82,general
3ud5,3.82,general
4egi,3.82,general
4fl3,3.82,general
4y2t,3.82,general
5d7e,3.82,general
5qai,3.82,general
5vfm,3.82,general
6ipl,3.82,general
6mt4,3.82,general
1r0x,3.83,general
1r10,3.83,general
1yhm,3.83,general
2osf,3.83,general
4ozo,3.83,general
6f5w,3.83,general
1bky,3.84,general
1j15,3.84,general
2k4i,3.84,general
3ck8,3.84,general
3ril,3.84,general
4bt9,3.84,general
4ce2,3.84,general
4d9p,3.84,general
4kv9,3.84,general
5acw,3.84,general
5mno,3.84,general
5mo2,3.84,general
5qah,3.84,general
6eks,3.84,general
1n1t,3.85,general
1n1v,3.85,general
1sre,3.85,general
1vcu,3.85,general
